"filename", "language", "CSS", "XML", "Markdown", "PHP", "JSON", "JavaScript", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\Ivenontory-managment-system\pages\users.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"c:\xampp\htdocs\Ivenontory-managment-system\pages\verification.php", "PHP", 0, 0, 0, 74, 0, 0, 0, 3, 11, 88
"c:\xampp\htdocs\Ivenontory-managment-system\pages\view_product.php", "PHP", 0, 0, 0, 165, 0, 0, 0, 1, 17, 183
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\bg.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\downarrow.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\homepage.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\logo.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\undraw_data_reports.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\undraw_users.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\uparrow.svg", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\xampp\htdocs\Ivenontory-managment-system\res\img\wave.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\res\libs\fpdf.php", "PHP", 0, 0, 0, 1524, 0, 0, 0, 166, 98, 1788
"c:\xampp\htdocs\Ivenontory-managment-system\style\PaymentCard.css", "CSS", 252, 0, 0, 0, 0, 0, 0, 16, 32, 300
"c:\xampp\htdocs\Ivenontory-managment-system\style\alert.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Ivenontory-managment-system\style\animate.css", "CSS", 2825, 0, 0, 0, 0, 0, 0, 30, 522, 3377
"c:\xampp\htdocs\Ivenontory-managment-system\style\bootstrap.min.css", "CSS", 2, 0, 0, 0, 0, 0, 0, 5, 0, 7
"c:\xampp\htdocs\Ivenontory-managment-system\style\dashboard.css", "CSS", 130, 0, 0, 0, 0, 0, 0, 6, 45, 181
"c:\xampp\htdocs\Ivenontory-managment-system\style\filters.css", "CSS", 45, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\xampp\htdocs\Ivenontory-managment-system\style\forms.css", "CSS", 140, 0, 0, 0, 0, 0, 0, 0, 24, 164
"c:\xampp\htdocs\Ivenontory-managment-system\style\home.css", "CSS", 141, 0, 0, 0, 0, 0, 0, 1, 9, 151
"c:\xampp\htdocs\Ivenontory-managment-system\style\index.css", "CSS", 476, 0, 0, 0, 0, 0, 0, 8, 93, 577
"c:\xampp\htdocs\Ivenontory-managment-system\style\loading.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\xampp\htdocs\Ivenontory-managment-system\style\login.css", "CSS", 146, 0, 0, 0, 0, 0, 0, 3, 27, 176
"c:\xampp\htdocs\Ivenontory-managment-system\style\product.css", "CSS", 234, 0, 0, 0, 0, 0, 0, 2, 42, 278
"c:\xampp\htdocs\Ivenontory-managment-system\style\product_details_modal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Ivenontory-managment-system\style\report.css", "CSS", 105, 0, 0, 0, 0, 0, 0, 0, 18, 123
"c:\xampp\htdocs\Ivenontory-managment-system\style\select_text.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\Ivenontory-managment-system\style\sidebar.css", "CSS", 138, 0, 0, 0, 0, 0, 0, 1, 30, 169
"c:\xampp\htdocs\Ivenontory-managment-system\style\style.css", "CSS", 40, 0, 0, 0, 0, 0, 0, 3, 8, 51
"Total", "-", 4707, 30, 10, 6960, 312, 902, 50, 714, 1779, 15464
